UltimateParentAccountID,ARR,UserCount_All,SessionCount_Amp,ResponseCount,ActionCount_ProjectsCreated,MUserCount_ProjectsCreated,Pageland_Count,AMRActions_UniqueUsers,TextIqConsumption_Events,TextIqConsumption_Uniques
0015000000I2ABnAAN,0,2106,42913,559029,401,217,138937,380,25,1879
0015000001AgknGAAR,0,443,7382,448751,77,51,27253,108,9,1579
0015000000qFw15AAC,0,2728,17655,27770,213,121,68384,88,9,190
00150000010MNXSAA4,0,1016,6833,35389,7,6,20917,35,8,154
0015000000Y18vLAAR,0,658,12151,101500,159,94,36348,144,20,1621
0015000000wLFivAAG,0,174,3559,26198,26,9,30356,57,17,508
0015000000Puzd2AAB,0,188344,2069535,16683078,51015,31305,7009354,39497,123,1432
0015000000nDRNKAA4,0,2299,14086,12758,6,4,26877,10,1,36
0015000000ZhgfEAAR,0,158,263,4331,21,4,2467,13,0,0
00150000010MeffAAC,0,112,727,8301,17,7,4385,24,6,52
0015000001F8dxLAAR,0,150,3373,70952,89,26,17423,23,5,117
0015000000PuUmzAAF,0,374409,4825640,23689348,139649,81395,16970214,96425,306,87327
0015000000U6i1qAAB,0,379,6576,57629,30,26,15475,58,0,0
0015000001XPWU7AAP,0,8249,138146,449507,120,33,365828,39,4,841
0015000000tQzMfAAK,0,1073,14229,118981,213,77,64438,175,8,90
0015000000wLMNIAA4,0,209575,1969773,12039666,46258,29274,7146714,40978,203,4795
0015000000VaXSlAAN,0,214,19510,161516,341,38,70523,33,3,64
0015000000etPwuAAE,0,808,16652,185676,390,168,89920,307,14,1081
0015000000qG0anAAC,0,1868,15012,135884,153,87,83789,234,20,1101
0015000000nDRcjAAG,0,903,10934,341343,225,111,52393,203,13,451
0015000000top0wAAA,0,296,1843,7003,9,7,17104,39,5,25
0015000000YYDQHAA5,0,1952,26698,160913,421,97,144979,164,33,7140
0015000000nDRkzAAG,0,1664,23600,36567,678,281,97718,317,12,2681
0015000000nDQokAAG,0,363,7775,30217,37,14,17312,21,3,14
0015000000QVETUAA5,0,1351,15350,1283623,298,136,67319,185,1,3
0015000000QUY75AAH,0,84988,1057627,4441147,28001,17669,3422166,20860,105,1314
0015000000nDQyRAAW,0,789,6716,13203,18,14,22373,23,1,14
00150000010MbXvAAK,0,348,3648,418892,42,25,15758,56,16,721
0015000000nDrfbAAC,0,1639,71392,374541,1884,457,357140,573,2,3
0015000000aeXFRAA2,0,1395,18175,24047,40,25,39528,55,5,24
0015000000nDSsDAAW,0,282,1849,17989,30,19,7735,19,0,0
0015000000nDWKnAAO,0,498,2830,51689,0,0,18770,36,10,44
0015000000QErHDAA1,0,51719,619182,2452261,18150,9296,2229746,12830,58,833
0015000000fqXIeAAM,0,2110,21138,57623,496,247,77187,347,13,197
0015000000qFkTyAAK,0,1536,14365,244719,38,9,46542,15,5,18
0015000000ruKZiAAM,0,4438,54682,3462090,29,22,303490,69,0,0
0015000000wNRAzAAO,0,213,2304,112818,93,35,10609,46,2,16
0015000000nDrj5AAC,0,551,8373,130543,315,82,34752,90,11,486
0015000000ZBuUjAAL,0,253,6738,760396,248,49,54794,88,62,11850
0015000000nDSiDAAW,0,173,993,386574,68,19,3863,24,1,13
